movieId,title,genres
72998,b'Avatar',b'Action|Adventure|Fantasy|Sci-Fi'
53125,"b""Pirates of the Caribbean: At World's End""",b'Action|Adventure|Fantasy'
91529,b'The Dark Knight Rises',b'Action|Thriller'
93363,b'John Carter',b'Action|Adventure|Sci-Fi'
52722,b'Spider-Man 3',b'Action|Adventure|Sci-Fi'
81847,b'Tangled',b'Animation|Adventure|Comedy|Family|Fantasy|Musical|Romance'
69844,b'Harry Potter and the Half-Blood Prince',b'Adventure|Family|Fantasy|Mystery'
46530,b'Superman Returns',b'Action|Adventure|Sci-Fi'
63113,b'Quantum of Solace',b'Action|Adventure|Thriller'
45722,"b""Pirates of the Caribbean: Dead Man's Chest""",b'Action|Adventure|Fantasy'
103384,b'The Lone Ranger',b'Action|Adventure|Western'
103042,b'Man of Steel',b'Action|Adventure|Sci-Fi'
59501,b'The Chronicles of Narnia: Prince Caspian',b'Action|Adventure|Family|Fantasy'
89745,b'The Avengers',b'Action|Adventure|Sci-Fi'
86880,b'Pirates of the Caribbean: On Stranger Tides',b'Action|Adventure|Fantasy'
94777,b'Men in Black 3',b'Action|Adventure|Comedy|Sci-Fi'
118696,b'The Hobbit: The Battle of the Five Armies',b'Adventure|Fantasy'
95510,b'The Amazing Spider-Man',b'Action|Adventure|Sci-Fi'
77866,b'Robin Hood',b'Action|Adventure|Drama|History|Romance'
106489,b'The Hobbit: The Desolation of Smaug',b'Adventure|Fantasy'
56171,b'The Golden Compass',b'Adventure|Family|Fantasy'
41569,b'King Kong',b'Action|Adventure|Drama|Romance'
1721,b'Titanic',b'Drama|Romance'
94018,b'Battleship',b'Action|Adventure|Sci-Fi|Thriller'
96079,b'Skyfall',b'Action|Adventure|Thriller'
8636,b'Spider-Man 2',b'Action|Adventure|Sci-Fi'
102125,b'Iron Man Three',b'Action|Adventure|Sci-Fi'
74789,b'Alice in Wonderland',b'Adventure|Family|Fantasy'
45499,b'X-Men: The Last Stand',b'Action|Adventure|Sci-Fi|Thriller'
103141,b'Monsters University',b'Animation|Adventure|Comedy|Family|Fantasy'
69526,b'Transformers: Revenge of the Fallen',b'Action|Adventure|Sci-Fi'
112370,b'Transformers: Age of Extinction',b'Action|Adventure|Sci-Fi'
101112,b'Oz the Great and Powerful',b'Adventure|Family|Fantasy'
110553,b'The Amazing Spider-Man 2',b'Action|Adventure|Sci-Fi'
82461,b'Tron',b'Action|Adventure|Fantasy|Sci-Fi'
87876,b'Cars 2',b'Animation|Adventure|Comedy|Family|Sport'
87430,b'Green Lantern',b'Action|Adventure|Sci-Fi'
78499,b'Toy Story 3',b'Animation|Adventure|Comedy|Family|Fantasy'
68791,b'Terminator Salvation',b'Action|Adventure|Sci-Fi'
103249,b'World War Z',b'Action|Adventure|Horror|Sci-Fi|Thriller'
111362,b'X-Men: Days of Future Past',b'Action|Adventure|Sci-Fi|Thriller'
102445,b'Star Trek Into Darkness',b'Action|Adventure|Sci-Fi'
101025,b'Jack the Giant Slayer',b'Adventure|Fantasy'
102407,b'The Great Gatsby',b'Drama|Romance'
